column_name,role,data_type,nullable,source_field,question_id,question_type,applicable_categories,allowed_values,missing_meaning,description
answer__does_the_app_permit_the_public_sharing_of_real_world_gra_809166c4,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_permit_the_public_sharing_of_real_world_gra_809166c4,radio,All Other App Types || Social or Communication,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the app permit the public sharing of real-world, graphic violence outside of a newsworthy context?"
answer__does_the_app_share_the_user_s_current_and_precise_physic_259a3f8a,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_share_the_user_s_current_and_precise_physic_259a3f8a,radio,All Other App Types || Social or Communication,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the app share the user's current and precise physical location with other users?
answer__does_the_app_take_place_in_a_realistic_or_historical_war_78e4413f,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_app_take_place_in_a_realistic_or_historical_war_78e4413f,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the app take place in a realistic or historical war setting?
answer__does_the_game_advocate_committing_acts_of_terrorism_e10f0658,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_advocate_committing_acts_of_terrorism_e10f0658,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the game advocate committing acts of terrorism?
answer__does_the_game_contain_an_integrated_marketplace_for_thes_feb79fb9,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_contain_an_integrated_marketplace_for_thes_feb79fb9,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the game contain an integrated marketplace for these assets or promote/feature a particular marketplace for these assets?
answer__does_the_game_contain_any_bodily_functions_such_as_belch_7d053cfc,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_contain_any_bodily_functions_such_as_belch_7d053cfc,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game contain any bodily functions such as belching, flatulence, or vomiting when used for humorous purposes? Please note that this question does not refer to user-generated content."
answer__does_the_game_contain_any_content_that_can_substantially_0e8549e7,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_contain_any_content_that_can_substantially_0e8549e7,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the game contain any content that can substantially erode the national identity of the Republic of Korea by describing anti-national acts or distorting historical facts?
answer__does_the_game_contain_any_potentially_offensive_language_3a42be1b,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_contain_any_potentially_offensive_language_3a42be1b,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the game contain any potentially offensive language? Please note that this question does not refer to user-generated content.
answer__does_the_game_contain_any_reference_to_or_use_of_drugs_a_10f81ced,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_contain_any_reference_to_or_use_of_drugs_a_10f81ced,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game contain any reference to or use of drugs, alcohol, or tobacco? Please note that this question does not refer to user-generated content."
answer__does_the_game_contain_any_swastikas_other_nazi_symbols_o_b8cf710d,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_contain_any_swastikas_other_nazi_symbols_o_b8cf710d,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game contain any swastikas, other Nazi symbols or propaganda deemed unconstitutional in Germany?"
answer__does_the_game_contain_gambling_simulations_of_casino_gam_251e14df,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_contain_gambling_simulations_of_casino_gam_251e14df,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game contain gambling, simulations of casino gambling/bingo, or gambling themes? Please note that this question does not refer to user-generated content."
answer__does_the_game_contain_inferences_of_references_to_or_dep_a40be1cf,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_contain_inferences_of_references_to_or_dep_a40be1cf,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game contain inferences of, references to, or depictions of sexuality, sexual violence, suggestiveness, dating games, revealing attire, or nudity? Please note that this question does not refer to user-generated content."
answer__does_the_game_contain_inferences_of_references_to_or_dep_a60327ce,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_contain_inferences_of_references_to_or_dep_a60327ce,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game contain inferences of, references to, or depictions of violence, blood, or gory images? This includes violence directed at the player's character. Please note that this question does not refer to user-generated content."
answer__does_the_game_contain_pictures_or_sounds_likely_to_be_sc_954ee2f8,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_contain_pictures_or_sounds_likely_to_be_sc_954ee2f8,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game contain pictures or sounds likely to be scary, horrifying, or disturbing? Please note that this question does not refer to user-generated content."
answer__does_the_game_contain_realistic_descriptions_of_crimes_e_7a9af535,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_contain_realistic_descriptions_of_crimes_e_7a9af535,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game contain realistic descriptions of crimes (e.g., robbery, kidnapping) or techniques that can be used in criminal offenses?"
answer__does_the_game_have_a_pixelated_or_childlike_style_7003dd1d,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_have_a_pixelated_or_childlike_style_7003dd1d,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the game have a pixelated or childlike style?
answer__does_the_game_have_a_pixelated_or_childlike_style_df8228d5,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_have_a_pixelated_or_childlike_style_df8228d5,radio,Game,"No || Yes, it has a childlike style (e.g., likely to appeal to younger children) || Yes, it has a pixelated style || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the game have a pixelated or childlike style?
answer__does_the_game_have_a_system_for_players_to_trade_items_w_540e69c1,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_have_a_system_for_players_to_trade_items_w_540e69c1,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game have a system for players to trade items with each other using real money or in-game currency purchased with real money? (e.g. auction house, item exchange)"
answer__does_the_game_include_chat_moderation_f5949739,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_include_chat_moderation_f5949739,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the game include chat moderation?
answer__does_the_game_include_the_ability_or_requirement_to_make_87aee7ff,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_include_the_ability_or_requirement_to_make_87aee7ff,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the game include the ability or requirement to make any purchases related to the issuance or earning of these digital assets?
answer__does_the_game_include_the_ability_or_requirement_to_wage_2d25b462,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_include_the_ability_or_requirement_to_wage_2d25b462,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game include the ability or requirement to wager, purchase entrance fees, additional chances to win, or any other purchases potentially related to winning cash payouts or rewards of significant monetary value from these casino games, lotteries, or racetrack betting games?"
answer__does_the_game_include_the_ability_or_requirement_to_wage_3f5a30fa,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_include_the_ability_or_requirement_to_wage_3f5a30fa,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game include the ability or requirement to wager, purchase entrance fees, additional chances to win, or any other purchases potentially related to winning cash payouts or rewards of significant monetary value from these bingo games?"
answer__does_the_game_include_the_ability_or_requirement_to_wage_c8e71373,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_include_the_ability_or_requirement_to_wage_c8e71373,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game include the ability or requirement to wager, purchase entrance fees, additional chances to win, boosts, or any other purchases potentially related to earning or winning cash rewards or rewards of significant monetary value?"
answer__does_the_game_include_the_ability_to_block_users_or_user_ae7dcc61,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_include_the_ability_to_block_users_or_user_ae7dcc61,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the game include the ability to block users or user-generated content?
answer__does_the_game_include_the_ability_to_report_users_or_use_5e66cfbc,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_include_the_ability_to_report_users_or_use_5e66cfbc,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the game include the ability to report users or user-generated content?
answer__does_the_game_include_the_purchase_or_sale_of_digital_go_9a08ca09,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_include_the_purchase_or_sale_of_digital_go_9a08ca09,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game include the purchase or sale of digital goods, cash rewards, gift cards, play-to-earn features, convertible cryptocurrency rewards, or the issuance of transferable digital assets (e.g., NFTs)?"
answer__does_the_game_natively_allow_users_to_interact_or_exchan_a4531922,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_natively_allow_users_to_interact_or_exchan_a4531922,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"Does the game natively allow users to interact or exchange content with other users through voice communication, text, or sharing images or audio?"
answer__does_the_game_share_the_user_s_current_and_precise_physi_9a758681,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_share_the_user_s_current_and_precise_physi_9a758681,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the game share the user's current and precise physical location with other users?
answer__does_the_game_take_place_in_a_realistic_or_historical_wa_067f5d44,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_game_take_place_in_a_realistic_or_historical_wa_067f5d44,radio,Game,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the game take place in a realistic or historical war setting?
answer__does_the_product_focus_on_any_other_age_restricted_activ_f21b28b2,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_product_focus_on_any_other_age_restricted_activ_f21b28b2,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the product focus on any other age-restricted activities or items?
answer__does_the_product_focus_on_promoting_alcohol_or_tobacco_fda3ff82,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],does_the_product_focus_on_promoting_alcohol_or_tobacco_fda3ff82,radio,All Other App Types,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Does the product focus on promoting alcohol or tobacco?
answer__fantasy_drugs_0cdae46d,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],fantasy_drugs_0cdae46d,checkbox,All Other App Types || Game,Encourages/Glamorizes || Reference || Use || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Fantasy Drugs
answer__how_explicitly_depicted_are_these_disturbing_or_gory_ima_31c85158,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_explicitly_depicted_are_these_disturbing_or_gory_ima_31c85158,radio,All Other App Types || Game,Graphic Detail || Limited Detail || Moderate Detail || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How explicitly depicted are these disturbing or gory images?
answer__how_frequent_are_the_horrifying_elements_793da69a,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequent_are_the_horrifying_elements_793da69a,radio,All Other App Types || Game,Often || Rare || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequent are the horrifying elements?
answer__how_frequent_are_the_scary_elements_71813163,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequent_are_the_scary_elements_71813163,radio,All Other App Types || Game,Often || Rare || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequent are the scary elements?
answer__how_frequently_are_revealing_outfits_depicted_dbabdf26,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_are_revealing_outfits_depicted_dbabdf26,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently are revealing outfits depicted?
answer__how_frequently_do_fantasy_drugs_occur_f510ee29,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_do_fantasy_drugs_occur_f510ee29,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently do fantasy drugs occur?
answer__how_frequently_do_medical_drugs_occur_04c7e80e,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_do_medical_drugs_occur_04c7e80e,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently do medical drugs occur?
answer__how_frequently_do_minor_profanities_occur_9d2bf28d,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_do_minor_profanities_occur_9d2bf28d,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently do minor profanities occur?
answer__how_frequently_do_sexual_expletives_occur_d0c59225,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_do_sexual_expletives_occur_d0c59225,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently do sexual expletives occur?
answer__how_frequently_do_the_fantasy_creatures_breasts_appear_e879ee9f,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_do_the_fantasy_creatures_breasts_appear_e879ee9f,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently do the fantasy creatures' breasts appear?
answer__how_frequently_do_the_female_human_breasts_with_nipples__163e9d54,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_do_the_female_human_breasts_with_nipples__163e9d54,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently do the female human breasts with nipples appear?
answer__how_frequently_do_the_human_buttocks_appear_6198e796,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_do_the_human_buttocks_appear_6198e796,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently do the human buttocks appear?
answer__how_frequently_do_the_nipple_less_breasts_appear_9f7d8dc0,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_do_the_nipple_less_breasts_appear_9f7d8dc0,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently do the nipple-less breasts appear?
answer__how_frequently_does_discriminatory_language_occur_5fd2d7f7,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_does_discriminatory_language_occur_5fd2d7f7,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently does discriminatory language occur?
answer__how_frequently_does_moderate_swearing_occur_7d1d932d,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_does_moderate_swearing_occur_7d1d932d,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently does moderate swearing occur?
answer__how_frequently_does_the_genitalia_appear_6e9bbba6,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_does_the_genitalia_appear_6e9bbba6,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently does the genitalia appear?
answer__how_frequently_does_this_alcohol_content_occur_861b9e63,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_does_this_alcohol_content_occur_861b9e63,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently does this alcohol content occur?
answer__how_frequently_does_this_tobacco_content_occur_0cdd660c,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_frequently_does_this_tobacco_content_occur_0cdd660c,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How frequently does this tobacco content occur?
answer__how_is_the_sexual_violence_in_the_app_presented_a33620b5,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_is_the_sexual_violence_in_the_app_presented_a33620b5,radio,All Other App Types,Referred to only || Visually depicted || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How is the sexual violence in the app presented?
answer__how_is_the_sexual_violence_in_the_game_presented_1aa9d746,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_is_the_sexual_violence_in_the_game_presented_1aa9d746,radio,Game,Referred to only || Visually depicted || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How is the sexual violence in the game presented?
answer__how_is_this_violence_presented_in_the_app_12995eb2,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_is_this_violence_presented_in_the_app_12995eb2,checkbox,All Other App Types,Implied but not seen || Often depicted from a close-up perspective || Often depicted from a distant perspective || Rarely depicted from a close-up perspective || Rarely depicted from a distant perspective || Referred to || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How is this violence presented in the app?
answer__how_is_this_violence_presented_in_the_app_98219979,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_is_this_violence_presented_in_the_app_98219979,checkbox,All Other App Types,Often depicted from a close-up perspective || Often depicted from a distant perspective || Rarely depicted from a close-up perspective || Rarely depicted from a distant perspective || Referred to || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How is this violence presented in the app?
answer__how_is_this_violence_presented_in_the_game_0a118a0a,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_is_this_violence_presented_in_the_game_0a118a0a,checkbox,Game,Often depicted from a close-up perspective || Often depicted from a distant perspective || Rarely depicted from a close-up perspective || Rarely depicted from a distant perspective || Referred to || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How is this violence presented in the game?
answer__how_is_this_violence_presented_in_the_game_d6f09ae3,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_is_this_violence_presented_in_the_game_d6f09ae3,checkbox,Game,Implied but not seen || Often depicted from a close-up perspective || Often depicted from a distant perspective || Rarely depicted from a close-up perspective || Rarely depicted from a distant perspective || Referred to || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How is this violence presented in the game?
answer__how_often_do_sexual_acts_occur_7a0c9886,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_often_do_sexual_acts_occur_7a0c9886,radio,All Other App Types || Game,Often || Rarely || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How often do sexual acts occur?
answer__how_would_you_describe_the_depiction_of_these_scenes_ple_091615b8,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_would_you_describe_the_depiction_of_these_scenes_ple_091615b8,checkbox,All Other App Types || Game,"Obscured/Innuendo - Sex act is either entirely off-camera or completely blocked from view || Shown with Full Frontal Nudity || Shown with No Nudity - Characters are depicted in a sexual act but no nudity is shown || Shown with Partial Nudity - Breasts, Buttocks || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How would you describe the depiction of these scenes? Please check all that apply.
answer__how_would_you_describe_the_reactions_to_violence_f4f3f14a,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_would_you_describe_the_reactions_to_violence_f4f3f14a,radio,All Other App Types || Game,Realistic || Unrealistic || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How would you describe the reactions to violence?
answer__how_would_you_describe_the_suggestive_sexual_themes_cont_945c7ef1,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_would_you_describe_the_suggestive_sexual_themes_cont_945c7ef1,checkbox,Game,"Overtly sexual situations or visually depicted innuendo || References to sexual activity with descriptive detail || References to sexual activity without descriptive detail || Sexual situations involving those who appear to be under 18 || Suggestive references and innuendo in text, dialogue, or heard || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How would you describe the suggestive/sexual themes contained in the game? Please check all that apply.
answer__how_would_you_describe_the_suggestive_sexual_themes_cont_e3783b5e,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],how_would_you_describe_the_suggestive_sexual_themes_cont_e3783b5e,checkbox,All Other App Types,"Overtly sexual situations or visually depicted innuendo || References to sexual activity with descriptive detail || References to sexual activity without descriptive detail || Sexual situations involving those who appear to be under 18 || Suggestive references and innuendo in text, dialogue, or heard || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__",__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,How would you describe the suggestive/sexual themes contained in the app? Please check all that apply.
answer__illegal_or_recreational_drugs_ba0c1239,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],illegal_or_recreational_drugs_ba0c1239,checkbox,All Other App Types || Game,Detailed Instruction for Use || Encourages/Glamorizes || Reference || Use || __NONE__ || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Illegal or Recreational Drugs
answer__in_what_kind_of_setting_context_storyline_does_the_viole_a606b09d,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],in_what_kind_of_setting_context_storyline_does_the_viole_a606b09d,radio,All Other App Types || Game,Fantastical || Realistic || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,"In what kind of setting (context, storyline) does the violence occur?"
answer__is_a_significant_portion_of_the_app_used_to_connect_peop_b57e2e9d,raw_feature_candidate,categorical string,no,questionStates.options[selected=true],is_a_significant_portion_of_the_app_used_to_connect_peop_b57e2e9d,radio,Social or Communication,No || Yes || __INACTIVE__ || __NOT_APPLICABLE__,__INACTIVE__=branch inactive; __NOT_APPLICABLE__=question not used by category; __NONE__=active checkbox with no selection.,Is a significant portion of the app used to connect people for the purposes of dating or sexual relationships or endeavors?
